id,categorie,risque,probabilite,impact,mitigation,owner
RISK-0001,Performance,Tables massives mal partitionnées entraînant des scans coûteux,Élevée,Critique,"DDL gate, benchmarks, revue SQL, partitioning policy",Architecte données
RISK-0002,Disponibilité,Bascule PostgreSQL non maîtrisée,Moyenne,Critique,"Patroni, tests mensuels, runbook, supervision replication lag",DBA
RISK-0003,Sécurité,Fuite de secrets discovery,Moyenne,Critique,"Vault, secrets éphémères, masquage logs, audit accès",RSSI
RISK-0004,Données,Réconciliation écrasant une donnée fiable,Moyenne,Élevé,"Golden record, score confiance, conflits explicites, validation humaine",Product Owner
RISK-0005,IPAM,Collision IP sous concurrence,Faible,Critique,"Transactions, idempotency keys, verrous fins, tests concurrence",Architecte réseau
RISK-0006,Exploitation,Imports massifs bloquant l’API,Moyenne,Élevé,"Jobs async, quotas, backpressure, réplicas lecture",SRE
RISK-0007,Projet,Périmètre trop large pour une première release,Élevée,Élevé,"Roadmap phasée, MVP enterprise, priorisation N1",Direction projet
RISK-0008,IA,Suggestion IA appliquée sans contrôle,Faible,Élevé,"IA non destructive, validation humaine, audit",Architecte sécurité
RISK-0009,Conformité,Audit non immuable ou incomplet,Moyenne,Élevé,"Journal append-only, hash chain, export signé",RSSI
RISK-0010,Observabilité,Goulets d’étranglement invisibles,Moyenne,Élevé,"OpenTelemetry, pg_stat_statements, dashboards, alertes",SRE
RISK-0011,GOV,Règles de priorité mal définies entraînant une perte de confiance dans le référentiel,Moyenne,Élevé,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0012,GOV,Excès de validation manuelle ralentissant les opérations automatisées,Moyenne,Élevé,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0013,DQ,Accumulation de findings non traités,Moyenne,Élevé,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0014,DQ,Règles qualité trop agressives générant de faux positifs,Moyenne,Élevé,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0015,FLOW,Volume de flux observés très élevé,Moyenne,Élevé,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0016,FLOW,Confusion entre matrice de flux et validation de changement ITSM,Moyenne,Élevé,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0017,CERT,Exposition accidentelle de secret,Moyenne,Élevé,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0018,CERT,Faux sentiment de sécurité si les certificats ne sont pas corrélés aux services,Moyenne,Élevé,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0019,NCFG,Parsing incomplet selon constructeurs,Moyenne,Moyen,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0020,NCFG,Risque de confusion avec orchestration de changement réseau,Moyenne,Moyen,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0021,FINOPS,Mauvaise allocation de coûts entraînant perte de confiance,Moyenne,Moyen,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0022,FINOPS,Données de facturation hétérogènes selon fournisseurs,Moyenne,Moyen,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0023,FIELD,Confusion avec ticketing ITSM,Moyenne,Élevé,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0024,FIELD,Perte ou exposition de données dans un paquet offline,Moyenne,Élevé,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0025,SIM,Interprétation d’une simulation comme ordre d’exécution,Moyenne,Élevé,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0026,SIM,Hypothèses incomplètes faussant les résultats,Moyenne,Élevé,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0027,GREEN,Qualité variable des mesures énergétiques,Moyenne,Moyen,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0028,GREEN,Calcul carbone mal interprété si les facteurs ne sont pas maîtrisés,Moyenne,Moyen,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0029,SBOM,Dépendance excessive à des sources CVE externes,Moyenne,Moyen,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0030,SBOM,Confusion entre contextualisation et scanner de vulnérabilités complet,Moyenne,Moyen,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0031,K8S,Volatilité élevée des objets Kubernetes,Moyenne,Moyen,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0032,K8S,Exposition accidentelle de métadonnées sensibles,Moyenne,Moyen,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0033,POLICY,Règles trop nombreuses entraînant bruit opérationnel,Moyenne,Élevé,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0034,POLICY,Politiques mal scindées entre conformité et automatisation,Moyenne,Élevé,"Règles de gouvernance, tests d’acceptation, audit, métriques et revue d’architecture à chaque release",Architecture OpenInfra
RISK-0035,Produit,Confusion entre intégration ITSM externe et module ITSM intégré,Moyenne,Critique,"ADR No-ITSM, tests absence ticketing, revue menus/routes",Product Owner
RISK-0036,Packaging,Divergence de services systemd par édition,Moyenne,Élevé,Tests unit files et conventions de nommage invariantes,SRE
RISK-0037,Discovery,Agents assimilés à des proxy avec responsabilités excessives,Moyenne,Élevé,"Terminologie agent, RBAC, aucune écriture DB directe",Architecte technique
RISK-0038,ITAM,Support tiers écrasant la vérité constructeur,Moyenne,Critique,"Modèle séparé, contraintes, conflits, tests import/connecteur",Responsable ITAM
RISK-0039,Sécurité,Secrets de connecteurs ITSM exposés,Moyenne,Critique,"Vault, masquage logs, rotation, audit, scan secrets",RSSI
RISK-0040,Qualité,Parité CLI/API/UI incomplète,Élevée,Élevé,Matrice parité et tests E2E obligatoires,QA Lead
RISK-0041,Installation,Bootstrap cluster partiellement appliqué,Moyenne,Élevé,"Idempotence, rollback, rapport et tests d échec simulé",SRE Lead
RISK-0042,Dépendances,Dépôt OS indisponible pendant installation,Moyenne,Moyen,"Préflight dépôts, miroir interne et erreur bloquante explicite",Platform Lead
RISK-0043,Migrations,Migration backend échouée en upgrade,Moyenne,Élevé,"Sauvegarde préalable, verrou, tests CI et rollback documenté",Database Lead
RISK-0044,Réseau,VIP mal déclarée ou conflit IP,Moyenne,Élevé,Préflight ARP/DNS/routage et blocage avant application,Network Lead
RISK-0045,Sécurité,Secret exposé dans les logs d installation,Faible,Élevé,"Masquage systématique, scan logs et tests sécurité",Security Lead
RISK-0046,Frontend,Frontend configuré pour contourner l API backend,Faible,Élevé,"Validation config, tests réseau et interdiction accès DB",Frontend Lead
RISK-0047,Discovery,Agent disposant de droits excessifs,Moyenne,Élevé,"Principe moindre privilège, mTLS, RBAC agent et tests sécurité",Discovery Lead
RISK-0048,Supportabilité,Noms systemd divergents entre éditions,Faible,Moyen,Matrice services et validation CI bloquante,Release Manager
RISK-0049,,,,Élévation de privilèges applicative,"Deny explicite prioritaire, tests RBAC, revue mapping, audit",Security Architect
RISK-0050,,,,Installation impossible ou partielle,"Dry-run, surcharge fichier réponses, contrôle capacité avant changement",SRE
RISK-0051,,,,Compromission système,"sudoers strict, wrappers, audits, tests sécurité",Security Architect
RISK-0052,,,,Perte accès utilisateurs,"Cache borné, break-glass audité, alertes, runbook",Ops
