clause,exigence,reponse_attendue,preuve_attendue,conformite
REQ-00001,"OpenInfra doit utiliser PostgreSQL Cluster comme persistance transactionnelle principale, avec haute disponibilité, sauvegarde PITR et routage lecture/écriture.",Conforme / Partiellement conforme / Non conforme,"Test d’intégration cluster, test de bascule, audit configuration.",À renseigner par le soumissionnaire
REQ-00002,OpenInfra doit être conçu pour dépasser 10 000 000 000 d’entrées sans refonte majeure du modèle de données.,Conforme / Partiellement conforme / Non conforme,"Revue d’architecture, benchmarks synthétiques, validation de schéma.",À renseigner par le soumissionnaire
REQ-00003,Aucune table à forte croissance ne doit être monolithique et non partitionnée.,Conforme / Partiellement conforme / Non conforme,"Analyse DDL, contrôle automatisé des migrations.",À renseigner par le soumissionnaire
REQ-00004,"Tout équipement physique doit être localisable par bâtiment, étage, salle, ligne, colonne, coordonnées X/Y/Z, rack, face et position U si applicable.",Conforme / Partiellement conforme / Non conforme,"Tests fonctionnels UI/API, vérification contraintes données.",À renseigner par le soumissionnaire
REQ-00005,Le référentiel doit conserver un historique complet time travel permettant de reconstituer l’état à une date donnée.,Conforme / Partiellement conforme / Non conforme,"Test de restitution à date, comparaison snapshot.",À renseigner par le soumissionnaire
REQ-00006,"Les allocations IP doivent être transactionnelles, idempotentes et sûres en concurrence.",Conforme / Partiellement conforme / Non conforme,Tests de concurrence multi-workers.,À renseigner par le soumissionnaire
REQ-00007,"L’IPAM doit supporter IPv4, IPv6, VRF, ASN, BGP, EVPN/VXLAN, MPLS, NAT, DHCP, DNS, DDI, RPKI et blocs RIPE/ARIN/APNIC.",Conforme / Partiellement conforme / Non conforme,"Tests API, fixtures réseau, revue modèle.",À renseigner par le soumissionnaire
REQ-00008,"La découverte doit être distribuée, bornée, planifiable, auditée, relançable et non bloquante pour l’API.",Conforme / Partiellement conforme / Non conforme,"Tests workers, crash recovery, test charge.",À renseigner par le soumissionnaire
REQ-00009,"Le DCIM doit fournir plans 2D/3D, racks, patch panels, PDU, énergie, refroidissement, capacité et jumeau numérique.",Conforme / Partiellement conforme / Non conforme,Tests UI/API et jeu de salle représentatif.,À renseigner par le soumissionnaire
REQ-00010,"Le moteur de dépendances doit modéliser applications, services, flux, graphes, SPOF et analyse d’impact.",Conforme / Partiellement conforme / Non conforme,"Tests graphes, scénarios impact.",À renseigner par le soumissionnaire
REQ-00011,"La sécurité doit inclure RBAC/ABAC, multi-tenant, SSO, MFA, Vault, chiffrement et journal d’audit immuable.",Conforme / Partiellement conforme / Non conforme,"Tests sécurité, revue RBAC, audit logs.",À renseigner par le soumissionnaire
REQ-00012,"Toutes les APIs volumineuses doivent imposer cursor pagination, limite stricte, filtres sélectifs et tri indexé.",Conforme / Partiellement conforme / Non conforme,Tests API négatifs et inspection SQL.,À renseigner par le soumissionnaire
REQ-00013,"Les fonctions IA doivent être optionnelles, gouvernées, auditables et ne jamais modifier la Ressources Inventory sans validation explicite.",Conforme / Partiellement conforme / Non conforme,"Tests gouvernance IA, logs décisions.",À renseigner par le soumissionnaire
REQ-00014,"La plateforme doit être déployable sur Kubernetes et Docker, avec observabilité, sauvegarde, PRA/PCA et runbooks.",Conforme / Partiellement conforme / Non conforme,"Test déploiement, test restauration, test supervision.",À renseigner par le soumissionnaire
REQ-00015,"Chaque exigence N1 doit disposer d’un critère d’acceptation, d’un test associé et d’une traçabilité vers un cas d’usage.",Conforme / Partiellement conforme / Non conforme,Contrôle matrice exigences/tests.,À renseigner par le soumissionnaire
REQ-00016,"Le périmètre Objectifs du volume Vision & Architecture doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00017,"Le domaine Objectifs doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
REQ-00018,Le domaine Objectifs doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Conforme / Partiellement conforme / Non conforme,"Test import/export, test file de messages et test reprise.",À renseigner par le soumissionnaire
REQ-00019,"Le périmètre Principes du volume Vision & Architecture doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00020,"Le domaine Principes doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
REQ-00021,Le domaine Principes doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Conforme / Partiellement conforme / Non conforme,"Test import/export, test file de messages et test reprise.",À renseigner par le soumissionnaire
REQ-00022,"Le périmètre Architecture cible du volume Vision & Architecture doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00023,"Le domaine Architecture cible doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
REQ-00024,Le domaine Architecture cible doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Conforme / Partiellement conforme / Non conforme,"Test import/export, test file de messages et test reprise.",À renseigner par le soumissionnaire
REQ-00025,"Le périmètre Urbanisation du volume Vision & Architecture doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00026,"Le domaine Urbanisation doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
REQ-00027,Le domaine Urbanisation doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Conforme / Partiellement conforme / Non conforme,"Test import/export, test file de messages et test reprise.",À renseigner par le soumissionnaire
REQ-00028,"Le périmètre Choix technologiques du volume Vision & Architecture doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00029,"Le domaine Choix technologiques doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
REQ-00030,Le domaine Choix technologiques doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Conforme / Partiellement conforme / Non conforme,"Test import/export, test file de messages et test reprise.",À renseigner par le soumissionnaire
REQ-00031,"Le périmètre Modèle de données complet du volume Référentiel Ressources Inventory doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00032,"Le domaine Modèle de données complet doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
REQ-00033,Le domaine Modèle de données complet doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Conforme / Partiellement conforme / Non conforme,"Test import/export, test file de messages et test reprise.",À renseigner par le soumissionnaire
REQ-00034,"Le périmètre Gestion des équipements du volume Référentiel Ressources Inventory doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00035,"Le domaine Gestion des équipements doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
REQ-00036,Le domaine Gestion des équipements doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Conforme / Partiellement conforme / Non conforme,"Test import/export, test file de messages et test reprise.",À renseigner par le soumissionnaire
REQ-00037,"Le périmètre Localisation X/Y/Z du volume Référentiel Ressources Inventory doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00038,"Le domaine Localisation X/Y/Z doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
REQ-00039,Le domaine Localisation X/Y/Z doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Conforme / Partiellement conforme / Non conforme,"Test import/export, test file de messages et test reprise.",À renseigner par le soumissionnaire
REQ-00040,"Le périmètre Historique du volume Référentiel Ressources Inventory doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00041,"Le domaine Historique doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
REQ-00042,Le domaine Historique doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Conforme / Partiellement conforme / Non conforme,"Test import/export, test file de messages et test reprise.",À renseigner par le soumissionnaire
REQ-00043,"Le périmètre Audit du volume Référentiel Ressources Inventory doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00044,"Le domaine Audit doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
REQ-00045,Le domaine Audit doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Conforme / Partiellement conforme / Non conforme,"Test import/export, test file de messages et test reprise.",À renseigner par le soumissionnaire
REQ-00046,"Le périmètre Cycle de vie du volume Référentiel Ressources Inventory doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00047,"Le domaine Cycle de vie doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
REQ-00048,Le domaine Cycle de vie doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Conforme / Partiellement conforme / Non conforme,"Test import/export, test file de messages et test reprise.",À renseigner par le soumissionnaire
REQ-00049,"Le périmètre IPv4/IPv6 du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00050,"Le domaine IPv4/IPv6 doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
REQ-00051,Le domaine IPv4/IPv6 doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Conforme / Partiellement conforme / Non conforme,"Test import/export, test file de messages et test reprise.",À renseigner par le soumissionnaire
REQ-00052,"Le périmètre VRF du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00053,"Le domaine VRF doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
REQ-00054,Le domaine VRF doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Conforme / Partiellement conforme / Non conforme,"Test import/export, test file de messages et test reprise.",À renseigner par le soumissionnaire
REQ-00055,"Le périmètre ASN du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00056,"Le domaine ASN doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
REQ-00057,Le domaine ASN doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Conforme / Partiellement conforme / Non conforme,"Test import/export, test file de messages et test reprise.",À renseigner par le soumissionnaire
REQ-00058,"Le périmètre BGP du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00059,"Le domaine BGP doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
REQ-00060,Le domaine BGP doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Conforme / Partiellement conforme / Non conforme,"Test import/export, test file de messages et test reprise.",À renseigner par le soumissionnaire
REQ-00061,"Le périmètre EVPN/VXLAN du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00062,"Le domaine EVPN/VXLAN doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
REQ-00063,Le domaine EVPN/VXLAN doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Conforme / Partiellement conforme / Non conforme,"Test import/export, test file de messages et test reprise.",À renseigner par le soumissionnaire
REQ-00064,"Le périmètre MPLS du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00065,"Le domaine MPLS doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
REQ-00066,Le domaine MPLS doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Conforme / Partiellement conforme / Non conforme,"Test import/export, test file de messages et test reprise.",À renseigner par le soumissionnaire
REQ-00067,"Le périmètre NAT du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00068,"Le domaine NAT doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
REQ-00069,Le domaine NAT doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Conforme / Partiellement conforme / Non conforme,"Test import/export, test file de messages et test reprise.",À renseigner par le soumissionnaire
REQ-00070,"Le périmètre DHCP du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00071,"Le domaine DHCP doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
REQ-00072,Le domaine DHCP doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Conforme / Partiellement conforme / Non conforme,"Test import/export, test file de messages et test reprise.",À renseigner par le soumissionnaire
REQ-00073,"Le périmètre DNS du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00074,"Le domaine DNS doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
REQ-00075,Le domaine DNS doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Conforme / Partiellement conforme / Non conforme,"Test import/export, test file de messages et test reprise.",À renseigner par le soumissionnaire
REQ-00076,"Le périmètre DDI du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00077,"Le domaine DDI doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
REQ-00078,Le domaine DDI doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Conforme / Partiellement conforme / Non conforme,"Test import/export, test file de messages et test reprise.",À renseigner par le soumissionnaire
REQ-00079,"Le périmètre RPKI du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Conforme / Partiellement conforme / Non conforme,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.",À renseigner par le soumissionnaire
REQ-00080,"Le domaine RPKI doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",Conforme / Partiellement conforme / Non conforme,Test audit et test de corrélation trace/log/event.,À renseigner par le soumissionnaire
V13,V13,V13,V13,V13
V13,V13,V13,V13,V13
V13,V13,V13,V13,V13
V13,V13,V13,V13,V13
V13,V13,V13,V13,V13
V13,V13,V13,V13,V13
V13,V13,V13,V13,V13
V13,V13,V13,V13,V13
V14,V14,V14,V14,V14
V14,V14,V14,V14,V14
V14,V14,V14,V14,V14
V14,V14,V14,V14,V14
V14,V14,V14,V14,V14
V14,V14,V14,V14,V14
V14,V14,V14,V14,V14
V14,V14,V14,V14,V14
V15,V15,V15,V15,V15
V15,V15,V15,V15,V15
V15,V15,V15,V15,V15
V15,V15,V15,V15,V15
V15,V15,V15,V15,V15
V15,V15,V15,V15,V15
V15,V15,V15,V15,V15
V15,V15,V15,V15,V15
V16,V16,V16,V16,V16
V16,V16,V16,V16,V16
V16,V16,V16,V16,V16
V16,V16,V16,V16,V16
V16,V16,V16,V16,V16
V16,V16,V16,V16,V16
V16,V16,V16,V16,V16
V16,V16,V16,V16,V16
V17,V17,V17,V17,V17
V17,V17,V17,V17,V17
V17,V17,V17,V17,V17
V17,V17,V17,V17,V17
V17,V17,V17,V17,V17
V17,V17,V17,V17,V17
V17,V17,V17,V17,V17
V17,V17,V17,V17,V17
V18,V18,V18,V18,V18
V18,V18,V18,V18,V18
V18,V18,V18,V18,V18
V18,V18,V18,V18,V18
V18,V18,V18,V18,V18
V18,V18,V18,V18,V18
V18,V18,V18,V18,V18
V18,V18,V18,V18,V18
V19,V19,V19,V19,V19
V19,V19,V19,V19,V19
V19,V19,V19,V19,V19
V19,V19,V19,V19,V19
V19,V19,V19,V19,V19
V19,V19,V19,V19,V19
V19,V19,V19,V19,V19
V19,V19,V19,V19,V19
V20,V20,V20,V20,V20
V20,V20,V20,V20,V20
V20,V20,V20,V20,V20
V20,V20,V20,V20,V20
V20,V20,V20,V20,V20
V20,V20,V20,V20,V20
V20,V20,V20,V20,V20
V20,V20,V20,V20,V20
V21,V21,V21,V21,V21
V21,V21,V21,V21,V21
V21,V21,V21,V21,V21
V21,V21,V21,V21,V21
V21,V21,V21,V21,V21
V21,V21,V21,V21,V21
V21,V21,V21,V21,V21
V21,V21,V21,V21,V21
V22,V22,V22,V22,V22
V22,V22,V22,V22,V22
V22,V22,V22,V22,V22
V22,V22,V22,V22,V22
V22,V22,V22,V22,V22
V22,V22,V22,V22,V22
V22,V22,V22,V22,V22
V22,V22,V22,V22,V22
V23,V23,V23,V23,V23
V23,V23,V23,V23,V23
V23,V23,V23,V23,V23
V23,V23,V23,V23,V23
V23,V23,V23,V23,V23
V23,V23,V23,V23,V23
V23,V23,V23,V23,V23
V23,V23,V23,V23,V23
V24,V24,V24,V24,V24
V24,V24,V24,V24,V24
V24,V24,V24,V24,V24
V24,V24,V24,V24,V24
V24,V24,V24,V24,V24
V24,V24,V24,V24,V24
V24,V24,V24,V24,V24
V24,V24,V24,V24,V24
